company_name,high,low,last_price,prev_close,change,percent_gain
Garden Reach Sh,"1,565.80","1,509.65","1,542.55","1,507.10",35.45,2.35
TataTeleservice,71.29,68.80,70.42,68.80,1.62,2.35
PNB Housing Fin,864.40,827.45,862.75,843.05,19.70,2.34
Equitas Bank,68.85,65.00,66.92,65.40,1.52,2.32
Polycab,"5,906.00","5,690.25","5,806.00","5,674.65",131.35,2.31
MOTHERSON,142.10,138.16,141.50,138.33,3.17,2.29
Campus Active,272.95,257.45,264.30,258.40,5.90,2.28
Sanofi India,"5,398.95","5,229.20","5,374.60","5,254.65",119.95,2.28
COFORGE LTD.,"8,784.00","8,455.20","8,691.75","8,498.80",192.95,2.27
Tejas Networks,893.50,859.65,876.15,856.70,19.45,2.27
Latent View,426.90,414.00,425.55,416.20,9.35,2.25
Metro Brands,"1,207.85","1,178.00","1,200.00","1,173.65",26.35,2.25
UPL,554.00,539.30,550.70,538.65,12.05,2.24
APL Apollo,"1,530.00","1,485.70","1,522.00","1,488.80",33.20,2.23
JBM Auto,"1,407.50","1,355.00","1,392.90","1,362.50",30.40,2.23
TBO Tek,"1,608.90","1,543.05","1,605.25","1,570.25",35.00,2.23
CDSL,"1,300.00","1,257.65","1,292.60","1,264.60",28.00,2.21
Dalmia Bharat,"1,868.35","1,805.15","1,853.20","1,813.20",40.00,2.21
Bajaj Finance,"7,787.00","7,568.95","7,774.15","7,606.60",167.55,2.2
EIH,366.00,355.30,362.90,355.10,7.80,2.2
UltraTechCement,"11,574.95","11,260.85","11,544.25","11,296.35",247.90,2.19
Voltas,"1,479.25","1,418.55","1,462.25","1,430.95",31.30,2.19
Birla Corp,"1,152.95","1,114.55","1,139.70","1,115.35",24.35,2.18
Bata India,"1,278.95","1,231.00","1,264.70","1,237.70",27.00,2.18
GE Shipping,938.10,903.05,928.75,908.90,19.85,2.18
Godfrey Phillip,"4,510.00","4,362.30","4,461.35","4,366.15",95.20,2.18
JK Tyre & Ind,322.00,307.60,314.30,307.60,6.70,2.18
NMDC,65.88,64.15,65.28,63.89,1.39,2.18
Havells India,"1,526.25","1,483.90","1,525.15","1,492.75",32.40,2.17
HUDCO,216.50,208.97,213.30,208.77,4.53,2.17
